titles,category
 가짜뉴스  놓고 격돌     처벌 강화     방통위가 무슨 권한  ,Politics
김행  행방불명된 적 없어 CCTV 공개해 달라 ,Politics
 정말로 XX하고 자빠졌죠  발언논란 안철수  시민욕설 유머로 승화 ,Politics
행안위 국감   이태원 참사  이상민 장관 책임 두고 여야 공방,Politics
유인촌  대통령이 싫어하면 가짜뉴스  있을 수 없다 ,Politics
선관위  선거시스템 해킹 가능성  실제 부정선거 이어지지 않아 ,Politics
고물가에 중동리스크도 가중      총력대응 주문,Politics
강서구청장 보궐선거 D   이재명 안철수 등판,Politics
  김혜경 법카 유용  공익신고자    일 정무위 국감 출석      국감 ,Politics
윤재옥     김행랑  비판에  도망자 프레임 씌워 망신주기 청문회 ,Politics
설탕        소금        물가   년 만에 최대 상승,Economic
이내흔 전 현대건설 사장 별세   이명박 전 대통령과도 인연,Economic
 미성년자  사장님 은 대부분 부동산임대업자  연  억  천만 원 버는 중학생도 경제합시다 ,Economic
롯데건설  안전상황센터 개관     관제 시스템 통해 사각지대까지 관리 ,Economic
쌀 생산량 강원 전국  전망  쌀값 영향 관심,Economic
한화그룹 창립   주년  김승연  창업시대의 야성 필요 ,Economic
파리서 부산세계박람회 공식 심포지엄 유치 총력,Economic
 먼저 탈출합니다  삼전보다 빨리 적자터널 빠져나온 이 종목 비결은,Economic
LG전자   분기 영업익  조원  어닝서프라이즈 에    상승 투자    ,Economic
산업장관  전기요금 kWh당   원 인상은 국민경제 감당 어려워 ,Economic
대법원장  공백  두고 여야 공방   권영준 대법관 재판   건 회피도 도마에,Social
  일부터   세 이상 독감 무료 접종,Social
성남시  탄천 수내교  차로 기능 살리며 전면 재시공,Social
청주 오송 참사 유가족 생존자  오송 참사 부실 대응 밝혀내라 ,Social
 돈봉투 의혹  윤관석  사실상 무죄 주장  아내 홀로 항암치료  보석 호소,Social
통합형       대입개편안   전문가  명확한 평가 가이드라인 필요 ,Social
부산 기장군에 국내 최대 규모  반려동물 테마파크  조성,Social
부산지하철노사 오늘 최종교섭 돌입 결렬시 내일 첫 차부터 파업,Social
모텔 환풍구 속 수상한 카메라 영상    만 개 나왔다,Social
전남도   개 시군  고향사랑기부금   억여원 모금 전국  위,Social
한국시단 원로  사랑의 시인  김남조 별세,Culture
많이 왔지만 다 온 건 아니다 SDV 고도화   시장 재기 과제 정의선 취임  년 ,Culture
 퇴근길 기온  일교차      도 안팎 동해안 비 차츰 그쳐  강풍 너울 주의 날씨 ,Culture
 책의 날 한국출판공로상 특별공로상 에 박민권  차관,Culture
 용서가 없다면 인류는 생존할 수 없다 ,Culture
 내일 맑고 완연한 가을 큰 일교차 유의 생활날씨 ,Culture
 출근길 짙은 안개 주의    도   도  큰 일교차 오늘날씨 ,Culture
KBS   일 임시 이사회 개최 신임 사장 임명 제청 가능성,Culture
  시진핑 이어  위 자오러지도 슈머와 회담 높은 격식 환대,World
유엔  이스라엘의 가자지구 전면봉쇄는 국제법 위반 ,World
사우디 왕세자  팔레스타인 편에 서겠다  지지 선언,World
케네디 주니어  대선 무소속 출마  바이든도  트럼프도  움찔 ,World
 모든 폭력은 이스라엘 책임  하버드 학생들 성명 발표에  발칵 ,World
푸틴  미국의 중동 정책 실패 드러나 ,World
 최고령 스카이다이버       세 할머니  세계 신기록  일 만에 영면,World
바이든  완전 악 하마스  IS 만행 떠올라     이스라엘에 무기 추가 투입,World
쫓겨난 전  하원의장 권토중래   당이 원하면 뭐든 할 것 ,World
 네타냐후  병원 긴급 호송  이 팔 전쟁 가짜뉴스 온상 된  X ,World
 대깨문 은 가리고   닭근혜   쥐박이   굥 은 그대로  AI 댓글 필터링 논란,IT
SK  C C  탄소 데이터 관리 플랫폼 기술검증 성공 ,IT
AWS  국내 기업 생성형 AI 구축에   억원 지원,IT
카카오  GS리테일과 손잡고 주류 판매 확대,IT
유명 과학 유튜버 궤도  공공기관 다니면서 영리 활동  감사원  정직 처분 ,IT
